"Source:","/Users/paoloaliverti/Downloads/ESP32Custom/ZESP32/ZESP32.kicad_sch"
"Date:","2023 November 09, Thursday 09:00:19"
"Tool:","Eeschema (6.0.11-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","REF"
"","","C1","104","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
"","","C2","104","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
"","","C3","10u/16V","Device:C_Polarized","Capacitor_SMD:CP_Elec_4x5.4","~","C3001198"
"","","C4","104","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
"","","C5","104","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
"","","C6","47u/16V","Device:C_Polarized","Capacitor_SMD:CP_Elec_5x5.4","~","C72515"
"","","C7","104","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
"","","C8","104","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
"","","C9","10u/16V","Device:C_Polarized","Capacitor_SMD:CP_Elec_4x5.4","~","C3001198"
"","","C10","100u/6.3V","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x5.7","~","C65235"
"","","C11","104","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
"","","C12","104","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
"","","D1","SS34","Device:D_Schottky","Diode_SMD:D_SMA","~","C8678"
"","","D2","BAT760-7","Device:D_Schottky","Diode_SMD:D_SOD-323F","~","C124187"
"","","D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","C2297"
"","","D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","C2297"
